          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
  188.175     4     4     4.0     60   8504 |   15  2896    0.2643    0.0176    0.0044 |
  189.150     4     4     4.0     60   8564 |   15  2911    0.2631    0.0175    0.0044 |
  190.125     4     4     4.0     60   8624 |   15  2926    0.2654    0.0177    0.0044 |
  191.100     4     4     4.0     60   8684 |   15  2941    0.2658    0.0177    0.0044 |
  192.075     4     4     4.0     60   8744 |   15  2956    0.2653    0.0177    0.0044 |
  193.050     4     4     4.0     60   8804 |   15  2971    0.2650    0.0177    0.0044 |
  194.025     4     4     4.0     60   8864 |   15  2986    0.2642    0.0176    0.0044 |
  195.000     4     4     4.0     60   8924 |   15  3001    0.2625    0.0175    0.0044 |
  195.975     4     4     4.0     60   8984 |   15  3016    0.2633    0.0176    0.0044 |
  196.950     4     4     4.0     60   9044 |   15  3031    0.2662    0.0177    0.0044 |
  197.925     4     4     4.0     60   9104 |   15  3046    0.2665    0.0178    0.0044 |
  198.900     4     4     4.0     60   9164 |   15  3061    0.2633    0.0176    0.0044 |
  199.875     4     4     4.0     60   9224 |   15  3076    0.2638    0.0176    0.0044 |
  200.850     4     4     4.0     60   9284 |   15  3091    0.2637    0.0176    0.0044 |
  201.825     4     4     4.0     60   9344 |   15  3106    0.2639    0.0176    0.0044 |
  202.800     4     4     4.0     60   9404 |   15  3121    0.2646    0.0176    0.0044 |
  203.775     4     4     4.0     60   9464 |   15  3136    0.2639    0.0176    0.0044 |
  204.750     4     4     4.0     60   9524 |   15  3151    0.2635    0.0176    0.0044 |
  205.725     4     4     4.0     60   9584 |   15  3166    0.2631    0.0175    0.0044 |
  206.700     4     4     4.0     60   9644 |   15  3181    0.2631    0.0175    0.0044 |
  207.675     4     4     4.0     60   9704 |   15  3196    0.2630    0.0175    0.0044 |
  208.650     4     4     4.0     60   9764 |   15  3211    0.2631    0.0175    0.0044 |
  209.625     4     4     4.0     60   9824 |   15  3226    0.2632    0.0175    0.0044 |
  210.600     4     4     4.0     60   9884 |   15  3241    0.2626    0.0175    0.0044 |
  211.575     4     4     4.0     60   9944 |   15  3256    0.2630    0.0175    0.0044 |
  212.550     4     4     4.0     60  10004 |   15  3271    0.2623    0.0175    0.0044 |
  213.525     4     4     4.0     60  10064 |   15  3286    0.2640    0.0176    0.0044 |
  214.500     4     4     4.0     60  10124 |   15  3301    0.2654    0.0177    0.0044 |
  215.475     4     4     4.0     60  10184 |   15  3316    0.2627    0.0175    0.0044 |
  216.450     4     4     4.0     60  10244 |   15  3331    0.2634    0.0176    0.0044 |
  217.425     4     4     4.0     60  10304 |   15  3346    0.2627    0.0175    0.0044 |
  218.400     4     4     4.0     60  10364 |   15  3361    0.2641    0.0176    0.0044 |
