          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  428.025    15  6586 |    0.0165    7.4946 |
  429.000    15  6601 |    0.0159    7.5105 |
  429.975    15  6616 |    0.0160    7.5265 |
  430.950    15  6631 |    0.0159    7.5424 |
  431.925    15  6646 |    0.0162    7.5586 |
  432.900    15  6661 |    0.0160    7.5746 |
  433.875    15  6676 |    0.0159    7.5906 |
  434.850    15  6691 |    0.0160    7.6066 |
  435.825    15  6706 |    0.0159    7.6226 |
  436.800    15  6721 |    0.0159    7.6385 |
  437.775    15  6736 |    0.0160    7.6545 |
  438.750    15  6751 |    0.0160    7.6704 |
  439.725    15  6766 |    0.0160    7.6865 |
  440.700    15  6781 |    0.0160    7.7024 |
  441.675    15  6796 |    0.0160    7.7184 |
  442.650    15  6811 |    0.0160    7.7344 |
  443.625    15  6826 |    0.0159    7.7503 |
  444.600    15  6841 |    0.0160    7.7663 |
  445.575    15  6856 |    0.0160    7.7823 |
  446.550    15  6871 |    0.0160    7.7982 |
  447.525    15  6886 |    0.0160    7.8142 |
  448.500    15  6901 |    0.0161    7.8303 |
  449.475    15  6916 |    0.0160    7.8463 |
  450.450    15  6931 |    0.0160    7.8623 |
  451.425    15  6946 |    0.0160    7.8783 |
  452.400    15  6961 |    0.0161    7.8943 |
  453.375    15  6976 |    0.0159    7.9102 |
  454.350    15  6991 |    0.0159    7.9262 |
  455.325    15  7006 |    0.0160    7.9422 |
  456.300    15  7021 |    0.0159    7.9582 |
  457.275    15  7036 |    0.0159    7.9741 |
  458.250    15  7051 |    0.0159    7.9900 |
  459.225    15  7066 |    0.0160    8.0060 |
  460.200    15  7081 |    0.0159    8.0219 |
  461.175    15  7096 |    0.0159    8.0378 |
  462.150    15  7111 |    0.0159    8.0537 |
  463.125    15  7126 |    0.0159    8.0697 |
  464.100    15  7141 |    0.0159    8.0856 |
  465.075    15  7156 |    0.0159    8.1015 |
  466.050    15  7171 |    0.0159    8.1174 |
  467.025    15  7186 |    0.0160    8.1334 |
  468.000    15  7201 |    0.0161    8.1495 |
  468.975    15  7216 |    0.0159    8.1654 |
  469.950    15  7231 |    0.0159    8.1813 |
  470.925    15  7246 |    0.0159    8.1972 |
  471.900    15  7261 |    0.0159    8.2131 |
  472.875    15  7276 |    0.0159    8.2290 |
  473.850    15  7291 |    0.0159    8.2449 |
  474.825    15  7306 |    0.0161    8.2609 |
  475.800    15  7321 |    0.0160    8.2770 |
  476.775    15  7336 |    0.0160    8.2929 |
  477.750    15  7351 |    0.0160    8.3089 |
  478.725    15  7366 |    0.0159    8.3248 |
  479.700    15  7381 |    0.0159    8.3408 |
  480.675    15  7396 |    0.0159    8.3567 |
  481.650    15  7411 |    0.0159    8.3726 |
  482.625    15  7426 |    0.0164    8.3890 |
  483.600    15  7441 |    0.0159    8.4049 |
  484.575    15  7456 |    0.0159    8.4208 |
  485.550    15  7471 |    0.0159    8.4368 |
  486.525    15  7486 |    0.0159    8.4527 |
  487.500    15  7501 |    0.0161    8.4688 |
  488.475    15  7516 |    0.0159    8.4848 |
  489.450    15  7531 |    0.0159    8.5007 |
  490.425    15  7546 |    0.0160    8.5167 |
  491.400    15  7561 |    0.0160    8.5326 |
  492.375    15  7576 |    0.0160    8.5486 |
  493.350    15  7591 |    0.0159    8.5645 |
  494.325    15  7606 |    0.0160    8.5806 |
  495.300    15  7621 |    0.0159    8.5965 |
  496.275    15  7636 |    0.0159    8.6124 |
  497.250    15  7651 |    0.0159    8.6283 |
  498.225    15  7666 |    0.0160    8.6443 |
  499.200    15  7681 |    0.0160    8.6603 |
  500.175    15  7696 |    0.0159    8.6762 |
  501.150    15  7711 |    0.0159    8.6921 |
  502.125    15  7726 |    0.0159    8.7080 |
  503.100    15  7741 |    0.0159    8.7239 |
  504.075    15  7756 |    0.0161    8.7400 |
  505.050    15  7771 |    0.0159    8.7559 |
  506.025    15  7786 |    0.0159    8.7718 |
  507.000    15  7801 |    0.0160    8.7878 |
  507.975    15  7816 |    0.0159    8.8037 |
  508.950    15  7831 |    0.0160    8.8197 |
  509.925    15  7846 |    0.0162    8.8359 |
  510.900    15  7861 |    0.0159    8.8519 |
  511.875    15  7876 |    0.0159    8.8678 |
  512.850    15  7891 |    0.0159    8.8837 |
