          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  498.225    15  7666 |    0.0165    8.7330 |
  499.200    15  7681 |    0.0166    8.7497 |
  500.175    15  7696 |    0.0161    8.7658 |
  501.150    15  7711 |    0.0159    8.7818 |
  502.125    15  7726 |    0.0160    8.7978 |
  503.100    15  7741 |    0.0160    8.8137 |
  504.075    15  7756 |    0.0160    8.8298 |
  505.050    15  7771 |    0.0161    8.8458 |
  506.025    15  7786 |    0.0165    8.8623 |
  507.000    15  7801 |    0.0166    8.8789 |
  507.975    15  7816 |    0.0160    8.8949 |
  508.950    15  7831 |    0.0160    8.9109 |
  509.925    15  7846 |    0.0159    8.9268 |
  510.900    15  7861 |    0.0161    8.9429 |
  511.875    15  7876 |    0.0161    8.9590 |
  512.850    15  7891 |    0.0159    8.9749 |
  513.825    15  7906 |    0.0160    8.9909 |
  514.800    15  7921 |    0.0158    9.0067 |
  515.775    15  7936 |    0.0160    9.0228 |
  516.750    15  7951 |    0.0167    9.0395 |
  517.725    15  7966 |    0.0160    9.0555 |
  518.700    15  7981 |    0.0161    9.0716 |
  519.675    15  7996 |    0.0160    9.0876 |
  520.650    15  8011 |    0.0160    9.1036 |
  521.625    15  8026 |    0.0161    9.1197 |
  522.600    15  8041 |    0.0162    9.1359 |
  523.575    15  8056 |    0.0159    9.1518 |
  524.550    15  8071 |    0.0160    9.1678 |
  525.525    15  8086 |    0.0162    9.1840 |
  526.500    15  8101 |    0.0160    9.2000 |
  527.475    15  8116 |    0.0163    9.2163 |
  528.450    15  8131 |    0.0161    9.2323 |
  529.425    15  8146 |    0.0159    9.2483 |
  530.400    15  8161 |    0.0161    9.2643 |
  531.375    15  8176 |    0.0159    9.2802 |
  532.350    15  8191 |    0.0159    9.2962 |
  533.325    15  8206 |    0.0160    9.3122 |
  534.300    15  8221 |    0.0161    9.3282 |
  535.275    15  8236 |    0.0159    9.3442 |
  536.250    15  8251 |    0.0162    9.3604 |
  537.225    15  8266 |    0.0161    9.3764 |
  538.200    15  8281 |    0.0161    9.3925 |
  539.175    15  8296 |    0.0161    9.4086 |
  540.150    15  8311 |    0.0162    9.4247 |
  541.125    15  8326 |    0.0159    9.4406 |
  542.100    15  8341 |    0.0160    9.4567 |
  543.075    15  8356 |    0.0160    9.4726 |
  544.050    15  8371 |    0.0159    9.4886 |
  545.025    15  8386 |    0.0163    9.5048 |
  546.000    15  8401 |    0.0160    9.5208 |
  546.975    15  8416 |    0.0160    9.5368 |
  547.950    15  8431 |    0.0160    9.5528 |
  548.925    15  8446 |    0.0160    9.5688 |
  549.900    15  8461 |    0.0160    9.5848 |
  550.875    15  8476 |    0.0159    9.6007 |
  551.850    15  8491 |    0.0160    9.6167 |
  552.825    15  8506 |    0.0161    9.6328 |
  553.800    15  8521 |    0.0161    9.6490 |
  554.775    15  8536 |    0.0162    9.6652 |
  555.750    15  8551 |    0.0162    9.6814 |
  556.725    15  8566 |    0.0160    9.6974 |
  557.700    15  8581 |    0.0159    9.7133 |
  558.675    15  8596 |    0.0159    9.7292 |
  559.650    15  8611 |    0.0160    9.7452 |
  560.625    15  8626 |    0.0161    9.7613 |
  561.600    15  8641 |    0.0159    9.7772 |
  562.575    15  8656 |    0.0161    9.7932 |
  563.550    15  8671 |    0.0160    9.8093 |
  564.525    15  8686 |    0.0161    9.8254 |
