          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  298.350    15  4591 |    0.0214    8.5165 |
  299.325    15  4606 |    0.0213    8.5379 |
  300.300    15  4621 |    0.0215    8.5593 |
  301.275    15  4636 |    0.0213    8.5806 |
  302.250    15  4651 |    0.0216    8.6022 |
  303.225    15  4666 |    0.0217    8.6239 |
  304.200    15  4681 |    0.0217    8.6456 |
  305.175    15  4696 |    0.0215    8.6671 |
  306.150    15  4711 |    0.0214    8.6885 |
  307.125    15  4726 |    0.0213    8.7097 |
  308.100    15  4741 |    0.0214    8.7311 |
  309.075    15  4756 |    0.0213    8.7524 |
  310.050    15  4771 |    0.0214    8.7738 |
  311.025    15  4786 |    0.0214    8.7952 |
  312.000    15  4801 |    0.0213    8.8165 |
  312.975    15  4816 |    0.0214    8.8379 |
  313.950    15  4831 |    0.0213    8.8592 |
  314.925    15  4846 |    0.0216    8.8807 |
  315.900    15  4861 |    0.0215    8.9023 |
  316.875    15  4876 |    0.0215    8.9238 |
  317.850    15  4891 |    0.0215    8.9452 |
  318.825    15  4906 |    0.0214    8.9667 |
  319.800    15  4921 |    0.0213    8.9880 |
  320.775    15  4936 |    0.0215    9.0094 |
  321.750    15  4951 |    0.0214    9.0309 |
  322.725    15  4966 |    0.0213    9.0522 |
  323.700    15  4981 |    0.0214    9.0736 |
  324.675    15  4996 |    0.0213    9.0949 |
  325.650    15  5011 |    0.0213    9.1163 |
  326.625    15  5026 |    0.0214    9.1377 |
  327.600    15  5041 |    0.0213    9.1590 |
  328.575    15  5056 |    0.0214    9.1804 |
  329.550    15  5071 |    0.0213    9.2017 |
  330.525    15  5086 |    0.0214    9.2230 |
  331.500    15  5101 |    0.0214    9.2444 |
  332.475    15  5116 |    0.0213    9.2657 |
  333.450    15  5131 |    0.0213    9.2871 |
  334.425    15  5146 |    0.0214    9.3084 |
  335.400    15  5161 |    0.0214    9.3298 |
  336.375    15  5176 |    0.0213    9.3512 |
  337.350    15  5191 |    0.0213    9.3725 |
  338.325    15  5206 |    0.0214    9.3939 |
  339.300    15  5221 |    0.0213    9.4152 |
  340.275    15  5236 |    0.0215    9.4366 |
  341.250    15  5251 |    0.0215    9.4581 |
  342.225    15  5266 |    0.0214    9.4795 |
  343.200    15  5281 |    0.0213    9.5009 |
  344.175    15  5296 |    0.0213    9.5222 |
  345.150    15  5311 |    0.0214    9.5436 |
  346.125    15  5326 |    0.0213    9.5649 |
  347.100    15  5341 |    0.0214    9.5862 |
  348.075    15  5356 |    0.0214    9.6076 |
  349.050    15  5371 |    0.0213    9.6289 |
  350.025    15  5386 |    0.0213    9.6502 |
  351.000    15  5401 |    0.0216    9.6718 |
  351.975    15  5416 |    0.0213    9.6931 |
  352.950    15  5431 |    0.0213    9.7145 |
  353.925    15  5446 |    0.0213    9.7358 |
  354.900    15  5461 |    0.0213    9.7571 |
  355.875    15  5476 |    0.0213    9.7784 |
  356.850    15  5491 |    0.0214    9.7998 |
  357.825    15  5506 |    0.0213    9.8211 |
  358.800    15  5521 |    0.0214    9.8425 |
  359.775    15  5536 |    0.0213    9.8638 |
  360.750    15  5551 |    0.0213    9.8851 |
  361.725    15  5566 |    0.0213    9.9064 |
  362.700    15  5581 |    0.0214    9.9278 |
  363.675    15  5596 |    0.0213    9.9491 |
  364.650    15  5611 |    0.0213    9.9704 |
  365.625    15  5626 |    0.0213    9.9917 |
  366.600    15  5641 |    0.0214   10.0131 |
  367.575    15  5656 |    0.0214   10.0345 |
  368.550    15  5671 |    0.0213   10.0557 |
  369.525    15  5686 |    0.0214   10.0771 |
  370.500    15  5701 |    0.0213   10.0984 |
  371.475    15  5716 |    0.0213   10.1198 |
  372.450    15  5731 |    0.0213   10.1411 |
  373.425    15  5746 |    0.0213   10.1624 |
  374.400    15  5761 |    0.0214   10.1838 |
  375.375    15  5776 |    0.0214   10.2052 |
  376.350    15  5791 |    0.0214   10.2265 |
  377.325    15  5806 |    0.0214   10.2479 |
  378.300    15  5821 |    0.0214   10.2693 |
  379.275    15  5836 |    0.0215   10.2908 |
  380.250    15  5851 |    0.0214   10.3121 |
  381.225    15  5866 |    0.0213   10.3334 |
  382.200    15  5881 |    0.0221   10.3556 |
  383.175    15  5896 |    0.0214   10.3770 |
  384.150    15  5911 |    0.0214   10.3984 |
  385.125    15  5926 |    0.0215   10.4199 |
  386.100    15  5941 |    0.0213   10.4412 |
  387.075    15  5956 |    0.0214   10.4627 |
  388.050    15  5971 |    0.0214   10.4840 |
  389.025    15  5986 |    0.0213   10.5053 |
  390.000    15  6001 |    0.0215   10.5268 |
  390.975    15  6016 |    0.0213   10.5481 |
  391.950    15  6031 |    0.0214   10.5696 |
  392.925    15  6046 |    0.0214   10.5910 |
  393.900    15  6061 |    0.0214   10.6124 |
  394.875    15  6076 |    0.0214   10.6337 |
  395.850    15  6091 |    0.0215   10.6553 |
  396.825    15  6106 |    0.0215   10.6767 |
  397.800    15  6121 |    0.0217   10.6984 |
  398.775    15  6136 |    0.0216   10.7200 |
  399.750    15  6151 |    0.0214   10.7414 |
  400.725    15  6166 |    0.0214   10.7628 |
  401.700    15  6181 |    0.0214   10.7842 |
  402.675    15  6196 |    0.0212   10.8055 |
  403.650    15  6211 |    0.0213   10.8268 |
  404.625    15  6226 |    0.0213   10.8481 |
  405.600    15  6241 |    0.0213   10.8694 |
  406.575    15  6256 |    0.0214   10.8908 |
  407.550    15  6271 |    0.0214   10.9122 |
  408.525    15  6286 |    0.0213   10.9335 |
  409.500    15  6301 |    0.0214   10.9549 |
  410.475    15  6316 |    0.0213   10.9762 |
  411.450    15  6331 |    0.0213   10.9976 |
  412.425    15  6346 |    0.0214   11.0190 |
  413.400    15  6361 |    0.0213   11.0403 |
  414.375    15  6376 |    0.0213   11.0616 |
  415.350    15  6391 |    0.0214   11.0830 |
  416.325    15  6406 |    0.0214   11.1044 |
  417.300    15  6421 |    0.0213   11.1257 |
  418.275    15  6436 |    0.0214   11.1470 |
  419.250    15  6451 |    0.0213   11.1684 |
  420.225    15  6466 |    0.0214   11.1898 |
  421.200    15  6481 |    0.0213   11.2111 |
  422.175    15  6496 |    0.0214   11.2325 |
  423.150    15  6511 |    0.0213   11.2538 |
  424.125    15  6526 |    0.0214   11.2751 |
  425.100    15  6541 |    0.0214   11.2965 |
  426.075    15  6556 |    0.0214   11.3179 |
  427.050    15  6571 |    0.0213   11.3392 |
  428.025    15  6586 |    0.0214   11.3606 |
  429.000    15  6601 |    0.0214   11.3820 |
  429.975    15  6616 |    0.0213   11.4033 |
  430.950    15  6631 |    0.0215   11.4248 |
  431.925    15  6646 |    0.0213   11.4461 |
  432.900    15  6661 |    0.0214   11.4675 |
  433.875    15  6676 |    0.0213   11.4888 |
  434.850    15  6691 |    0.0214   11.5101 |
  435.825    15  6706 |    0.0214   11.5316 |
  436.800    15  6721 |    0.0213   11.5528 |
  437.775    15  6736 |    0.0216   11.5744 |
