          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  355.875    15  5476 |    0.0160    6.3726 |
  356.850    15  5491 |    0.0160    6.3886 |
  357.825    15  5506 |    0.0159    6.4045 |
  358.800    15  5521 |    0.0159    6.4204 |
  359.775    15  5536 |    0.0159    6.4363 |
  360.750    15  5551 |    0.0161    6.4524 |
  361.725    15  5566 |    0.0159    6.4683 |
  362.700    15  5581 |    0.0160    6.4843 |
  363.675    15  5596 |    0.0162    6.5005 |
  364.650    15  5611 |    0.0161    6.5166 |
  365.625    15  5626 |    0.0160    6.5325 |
  366.600    15  5641 |    0.0160    6.5485 |
  367.575    15  5656 |    0.0160    6.5645 |
  368.550    15  5671 |    0.0159    6.5804 |
  369.525    15  5686 |    0.0159    6.5963 |
  370.500    15  5701 |    0.0160    6.6123 |
  371.475    15  5716 |    0.0163    6.6286 |
  372.450    15  5731 |    0.0162    6.6448 |
  373.425    15  5746 |    0.0162    6.6610 |
  374.400    15  5761 |    0.0160    6.6769 |
  375.375    15  5776 |    0.0159    6.6929 |
  376.350    15  5791 |    0.0161    6.7090 |
  377.325    15  5806 |    0.0161    6.7251 |
  378.300    15  5821 |    0.0161    6.7411 |
  379.275    15  5836 |    0.0163    6.7574 |
  380.250    15  5851 |    0.0160    6.7734 |
  381.225    15  5866 |    0.0162    6.7896 |
  382.200    15  5881 |    0.0161    6.8057 |
  383.175    15  5896 |    0.0161    6.8218 |
  384.150    15  5911 |    0.0162    6.8380 |
  385.125    15  5926 |    0.0163    6.8543 |
  386.100    15  5941 |    0.0167    6.8710 |
  387.075    15  5956 |    0.0165    6.8875 |
  388.050    15  5971 |    0.0162    6.9038 |
  389.025    15  5986 |    0.0162    6.9200 |
  390.000    15  6001 |    0.0162    6.9362 |
  390.975    15  6016 |    0.0165    6.9526 |
  391.950    15  6031 |    0.0164    6.9690 |
  392.925    15  6046 |    0.0163    6.9853 |
  393.900    15  6061 |    0.0161    7.0014 |
  394.875    15  6076 |    0.0162    7.0176 |
  395.850    15  6091 |    0.0164    7.0340 |
  396.825    15  6106 |    0.0164    7.0503 |
  397.800    15  6121 |    0.0166    7.0670 |
  398.775    15  6136 |    0.0165    7.0835 |
  399.750    15  6151 |    0.0162    7.0997 |
  400.725    15  6166 |    0.0166    7.1163 |
  401.700    15  6181 |    0.0165    7.1327 |
  402.675    15  6196 |    0.0163    7.1491 |
  403.650    15  6211 |    0.0165    7.1655 |
  404.625    15  6226 |    0.0162    7.1817 |
  405.600    15  6241 |    0.0164    7.1981 |
  406.575    15  6256 |    0.0168    7.2148 |
  407.550    15  6271 |    0.0164    7.2312 |
  408.525    15  6286 |    0.0164    7.2476 |
  409.500    15  6301 |    0.0162    7.2639 |
  410.475    15  6316 |    0.0163    7.2802 |
  411.450    15  6331 |    0.0162    7.2964 |
  412.425    15  6346 |    0.0161    7.3125 |
