          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
  228.150     3     3     3.0     45  10247 |   15  3511    0.2178    0.0145    0.0048 |
  229.125     3     3     3.0     45  10292 |   15  3526    0.2155    0.0144    0.0048 |
  230.100     3     3     3.0     45  10337 |   15  3541    0.2166    0.0144    0.0048 |
  231.075     3     3     3.0     45  10382 |   15  3556    0.2193    0.0146    0.0049 |
  232.050     3     3     3.0     45  10427 |   15  3571    0.2212    0.0147    0.0049 |
  233.025     3     3     3.0     45  10472 |   15  3586    0.2156    0.0144    0.0048 |
  234.000     3     3     3.0     45  10517 |   15  3601    0.2153    0.0144    0.0048 |
  234.975     3     3     3.0     45  10562 |   15  3616    0.2136    0.0142    0.0047 |
  235.950     3     3     3.0     45  10607 |   15  3631    0.2166    0.0144    0.0048 |
  236.925     3     3     3.0     45  10652 |   15  3646    0.2155    0.0144    0.0048 |
  237.900     3     3     3.0     45  10697 |   15  3661    0.2119    0.0141    0.0047 |
  238.875     3     3     3.0     45  10742 |   15  3676    0.2198    0.0147    0.0049 |
  239.850     3     3     3.0     45  10787 |   15  3691    0.2203    0.0147    0.0049 |
  240.825     3     3     3.0     45  10832 |   15  3706    0.2182    0.0145    0.0048 |
  241.800     3     3     3.0     45  10877 |   15  3721    0.2174    0.0145    0.0048 |
  242.775     3     3     3.0     45  10922 |   15  3736    0.2162    0.0144    0.0048 |
  243.750     3     3     3.0     45  10967 |   15  3751    0.2156    0.0144    0.0048 |
  244.725     3     3     3.0     45  11012 |   15  3766    0.2169    0.0145    0.0048 |
  245.700     3     3     3.0     45  11057 |   15  3781    0.2166    0.0144    0.0048 |
  246.675     3     3     3.0     45  11102 |   15  3796    0.2156    0.0144    0.0048 |
  247.650     3     3     3.0     45  11147 |   15  3811    0.2191    0.0146    0.0049 |
  248.625     3     3     3.0     45  11192 |   15  3826    0.2156    0.0144    0.0048 |
  249.600     3     3     3.0     45  11237 |   15  3841    0.2111    0.0141    0.0047 |
  250.575     3     3     3.0     45  11282 |   15  3856    0.2148    0.0143    0.0048 |
  251.550     3     3     3.0     45  11327 |   15  3871    0.2159    0.0144    0.0048 |
  252.525     3     3     3.0     45  11372 |   15  3886    0.2141    0.0143    0.0048 |
  253.500     3     3     3.0     45  11417 |   15  3901    0.2121    0.0141    0.0047 |
  254.475     3     3     3.0     45  11462 |   15  3916    0.2143    0.0143    0.0048 |
  255.450     3     3     3.0     45  11507 |   15  3931    0.2163    0.0144    0.0048 |
  256.425     3     3     3.0     45  11552 |   15  3946    0.2135    0.0142    0.0047 |
  257.400     3     3     3.0     45  11597 |   15  3961    0.2153    0.0144    0.0048 |
  258.375     3     3     3.0     45  11642 |   15  3976    0.2165    0.0144    0.0048 |
  259.350     3     3     3.0     45  11687 |   15  3991    0.2176    0.0145    0.0048 |
  260.325     3     3     3.0     45  11732 |   15  4006    0.2166    0.0144    0.0048 |
  261.300     3     3     3.0     45  11777 |   15  4021    0.2160    0.0144    0.0048 |
  262.275     3     3     3.0     45  11822 |   15  4036    0.2207    0.0147    0.0049 |
  263.250     3     3     3.0     45  11867 |   15  4051    0.2186    0.0146    0.0049 |
  264.225     3     3     3.0     45  11912 |   15  4066    0.2157    0.0144    0.0048 |
  265.200     3     3     3.0     45  11957 |   15  4081    0.2158    0.0144    0.0048 |
  266.175     3     3     3.0     45  12002 |   15  4096    0.2189    0.0146    0.0049 |
  267.150     3     3     3.0     45  12047 |   15  4111    0.2153    0.0144    0.0048 |
  268.125     3     3     3.0     45  12092 |   15  4126    0.2131    0.0142    0.0047 |
  269.100     3     3     3.0     45  12137 |   15  4141    0.2132    0.0142    0.0047 |
  270.075     3     3     3.0     45  12182 |   15  4156    0.2164    0.0144    0.0048 |
  271.050     3     3     3.0     45  12227 |   15  4171    0.2157    0.0144    0.0048 |
  272.025     3     3     3.0     45  12272 |   15  4186    0.2170    0.0145    0.0048 |
  273.000     3     3     3.0     45  12317 |   15  4201    0.2172    0.0145    0.0048 |
  273.975     3     3     3.0     45  12362 |   15  4216    0.2154    0.0144    0.0048 |
  274.950     3     3     3.0     45  12407 |   15  4231    0.2176    0.0145    0.0048 |
  275.925     3     3     3.0     45  12452 |   15  4246    0.2151    0.0143    0.0048 |
  276.900     3     3     3.0     45  12497 |   15  4261    0.2170    0.0145    0.0048 |
  277.875     3     3     3.0     45  12542 |   15  4276    0.2162    0.0144    0.0048 |
  278.850     3     3     3.0     45  12587 |   15  4291    0.2158    0.0144    0.0048 |
  279.825     3     3     3.0     45  12632 |   15  4306    0.2159    0.0144    0.0048 |
  280.800     3     3     3.0     45  12677 |   15  4321    0.2147    0.0143    0.0048 |
  281.775     3     3     3.0     45  12722 |   15  4336    0.2125    0.0142    0.0047 |
  282.750     3     3     3.0     45  12767 |   15  4351    0.2137    0.0142    0.0047 |
  283.725     3     3     3.0     45  12812 |   15  4366    0.2157    0.0144    0.0048 |
  284.700     3     3     3.0     45  12857 |   15  4381    0.2194    0.0146    0.0049 |
  285.675     3     3     3.0     45  12902 |   15  4396    0.2161    0.0144    0.0048 |
  286.650     3     3     3.0     45  12947 |   15  4411    0.2149    0.0143    0.0048 |
  287.625     3     3     3.0     45  12992 |   15  4426    0.2157    0.0144    0.0048 |
  288.600     3     3     3.0     45  13037 |   15  4441    0.2173    0.0145    0.0048 |
  289.575     3     3     3.0     45  13082 |   15  4456    0.2156    0.0144    0.0048 |
  290.550     3     3     3.0     45  13127 |   15  4471    0.2160    0.0144    0.0048 |
  291.525     3     3     3.0     45  13172 |   15  4486    0.2177    0.0145    0.0048 |
  292.500     3     3     3.0     45  13217 |   15  4501    0.2184    0.0146    0.0049 |
  293.475     3     3     3.0     45  13262 |   15  4516    0.2147    0.0143    0.0048 |
  294.450     3     3     3.0     45  13307 |   15  4531    0.2180    0.0145    0.0048 |
  295.425     3     3     3.0     45  13352 |   15  4546    0.2154    0.0144    0.0048 |
  296.400     3     3     3.0     45  13397 |   15  4561    0.2134    0.0142    0.0047 |
  297.375     3     3     3.0     45  13442 |   15  4576    0.2169    0.0145    0.0048 |
  298.350     3     3     3.0     45  13487 |   15  4591    0.2164    0.0144    0.0048 |
